RA1,Dec1,RA2,Dec2
52.21614,-45.59908,46.01432,-45.54632
46.01432,-45.54632,45.96198,-48.54611
45.96198,-48.54611,41.00927,-48.50779
41.00927,-48.50779,40.97428,-50.50766
40.97428,-50.50766,37.26479,-50.48136
37.26479,-50.48136,37.21096,-53.48118
37.21096,-53.48118,33.50825,-53.45711
33.50825,-53.45711,33.42012,-57.95684
33.42012,-57.95684,21.12204,-57.89389
21.12204,-57.89389,21.18436,-52.89401
21.18436,-52.89401,24.88230,-52.91008
24.88230,-52.91008,24.90693,-50.91014
24.90693,-50.91014,28.60981,-50.92872
28.60981,-50.92872,28.65172,-47.59550
28.65172,-47.59550,36.07223,-47.63989
36.07223,-47.63989,36.17551,-39.47356
36.17551,-39.47356,46.10406,-39.54669
46.10406,-39.54669,46.10970,-39.13004
46.10970,-39.13004,53.56406,-39.19404
53.56406,-39.19404,53.61551,-35.61094
53.61551,-35.61094,57.34774,-35.64553
57.34774,-35.64553,57.49502,-24.02955
57.49502,-24.02955,41.05073,-23.89035
50.72534,-1.33379,55.22432,-1.37397
55.22432,-1.37397,55.24042,0.37596
36.17551,-39.47356,26.25626,-39.41634
26.25626,-39.41634,26.35674,-24.91659
96.25031,11.93865,96.31649,17.43828
96.31649,17.43828,94.94209,17.45375
94.94209,17.45375,94.99283,21.45347
94.99283,21.45347,89.99372,21.50991
89.99372,21.50991,90.01129,22.84315
90.01129,22.84315,90.08293,28.00941
112.41666,35.26317,118.14720,35.20410
118.14720,35.20410,118.11775,33.20425
118.11775,33.20425,121.85398,33.16729
106.59759,9.82375,105.59812,9.83464
105.59812,9.83464,105.62077,11.83452
105.62077,11.83452,96.25031,11.93865
321.79356,-36.49764,346.60701,-36.37242
346.60701,-36.37242,351.56592,-36.36101
351.56592,-36.36101,351.57467,-39.36100
351.57467,-39.36100,351.64574,-56.36094
351.64574,-56.36094,331.96707,-56.43390
331.96707,-56.43390,331.85985,-49.43419
331.85985,-49.43419,321.97005,-49.49701
321.97005,-49.49701,321.90007,-44.99726
321.90007,-44.99726,321.79356,-36.49764
245.44928,3.72361,242.70025,3.69584
242.70025,3.69584,242.57657,15.69523
242.57657,15.69523,240.08072,15.67063
240.08072,15.67063,240.01557,21.67031
240.01557,21.67031,241.76144,21.68746
241.76144,21.68746,241.71417,25.68722
274.28331,47.54394,273.40783,47.53407
273.40783,47.53407,273.74030,30.03595
273.74030,30.03595,276.61662,30.06833
276.61662,30.06833,276.67436,26.06865
276.67436,26.06865,284.18086,26.15212
284.18086,26.15212,284.18764,25.65216
284.18764,25.65216,284.24527,21.23581
284.24527,21.23581,284.27736,18.65265
281.28610,12.11920,275.10126,12.04996
275.10126,12.04996,275.07352,14.38313
275.07352,14.38313,260.07685,14.21440
260.07685,14.21440,260.09447,12.71450
260.09447,12.71450,252.59968,12.63249
252.59968,12.63249,252.69678,3.79968
252.69678,3.79968,245.44928,3.72361
58.26124,-52.82248,53.30424,-52.77620
53.30424,-52.77620,53.18495,-57.10899
53.18495,-57.10899,48.73549,-57.06993
48.73549,-57.06993,48.33652,-67.06824
48.33652,-67.06824,33.15280,-66.95601
33.15280,-66.95601,33.42012,-57.95684
140.28851,6.50761,145.28307,6.47287
145.28307,6.47287,145.23696,-0.52698
145.23696,-0.52698,145.16375,-11.52674
145.16375,-11.52674,162.69869,-11.61558
194.04970,-22.63005,215.38914,-22.53305
215.38914,-22.53305,215.40825,-25.03299
215.40825,-25.03299,225.44815,-24.96093
225.44815,-24.96093,225.49849,-29.96073
141.80586,-24.50418,137.53955,-24.47264
137.53955,-24.47264,137.58439,-19.47281
137.58439,-19.47281,130.06446,-19.41096
130.06446,-19.41096,130.08383,-17.41105
130.08383,-17.41105,126.82710,-17.38200
126.82710,-17.38200,126.88543,-11.38227
126.88543,-11.38227,122.63020,-11.34248
122.63020,-11.34248,122.73705,-0.34299
68.59239,-69.76453,68.01110,-74.76145
68.01110,-74.76145,52.10312,-74.60409
52.10312,-74.60409,50.24858,-82.09569
50.24858,-82.09569,1.42990,-81.85270
1.42990,-81.85270,1.45864,-74.35271
1.45864,-74.35271,12.25724,-74.36622
12.25724,-74.36622,12.22276,-75.36618
12.22276,-75.36618,20.60763,-75.39286
20.60763,-75.39286,21.12204,-57.89389
48.33652,-67.06824,68.79025,-67.26557
322.96705,-74.49345,322.18580,-59.49624
322.18580,-59.49624,307.38664,-59.61771
307.38664,-59.61771,307.28783,-56.61817
307.28783,-56.61817,307.01804,-45.11941
307.01804,-45.11941,321.90007,-44.99726
331.96707,-56.43390,332.23320,-66.93316
332.23320,-66.93316,351.73289,-66.86086
351.73289,-66.86086,351.86117,-74.36074
351.86117,-74.36074,322.96705,-74.49345
344.36232,35.12127,343.60667,35.11883
343.60667,35.11883,343.60418,35.61882
343.60418,35.61882,331.26411,35.56416
331.26411,35.56416,331.25566,36.56414
331.25566,36.56414,329.36724,36.55341
162.73767,-0.61564,162.76220,6.38431
162.76220,6.38431,145.28307,6.47287
140.51367,33.00678,149.95640,32.94451
149.95640,32.94451,149.91719,27.94462
149.91719,27.94462,159.11703,27.89849
159.11703,27.89849,159.09134,22.89854
159.09134,22.89854,162.82427,22.88420
162.82427,22.88420,162.83263,24.88419
162.83263,24.88419,166.56351,24.87248
166.56351,24.87248,166.57570,28.37246
166.57570,28.37246,179.49652,28.35281
179.49224,13.35281,179.49146,10.35281
179.49146,10.35281,174.25260,10.35681
174.25260,10.35681,174.23838,-0.64318
174.23838,-0.64318,174.23066,-6.64317
162.71661,-6.61561,162.73767,-0.61564
140.51367,33.00678,140.58416,39.25652
140.58416,39.25652,145.54729,39.22200
145.54729,39.22200,145.57272,41.47192
145.57272,41.47192,154.24737,41.42130
154.24737,41.42130,154.22982,39.42134
154.22982,39.42134,163.39958,39.38236
163.39958,39.38236,163.36804,33.38241
163.36804,33.38241,166.59461,33.37244
166.59461,33.37244,166.57570,28.37246
77.61695,-10.85365,88.86304,-10.97946
88.86304,-10.97946,93.11291,-11.02747
227.74051,-0.44153,227.76741,-3.69142
227.76741,-3.69142,240.27207,-3.57844
240.27207,-3.57844,240.31884,-8.32821
240.31884,-8.32821,240.44382,-20.32761
240.44382,-20.32761,236.68569,-20.36346
236.68569,-20.36346,236.79431,-29.86295
236.79431,-29.86295,225.49849,-29.96073
215.38914,-22.53305,215.29204,-8.53336
215.29204,-8.53336,221.55005,-8.49022
221.55005,-8.49022,221.49060,-0.49044
221.49060,-0.49044,227.74051,-0.44153
236.79431,-29.86295,241.81084,-29.81477
241.81084,-29.81477,242.00136,-42.31383
242.00136,-42.31383,236.97503,-42.36211
236.97503,-42.36211,237.08895,-48.36158
237.08895,-48.36158,232.05165,-48.40716
232.05165,-48.40716,232.18726,-54.40657
232.18726,-54.40657,227.89381,-54.44296
227.89381,-54.44296,227.91865,-55.44286
